DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2002,29873,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2003,29801,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2004,30492,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2005,30985,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2006,31706,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2007,34204,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2008,34398,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2009,34644,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2010,34431,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2011,34544,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2012,37749,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2013,35913,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2014,36167,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2015,35736,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2016,40454,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2017,39786,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2018,38134,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2019,37519,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2020,35845,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2021,36912,NUM: Number,,
